Target Author,Citing Paper,Number of Authors,Overcite Count
22954842600,2-s2.0-84955367463,2,2
22954842600,2-s2.0-84955378407,2,2
22954842600,2-s2.0-84956622989,5,2
22954842600,2-s2.0-84957398799,4,2
22954842600,2-s2.0-84957443104,2,2
22954842600,2-s2.0-84957567687,2,2
22954842600,2-s2.0-84957991224,3,2
22954842600,2-s2.0-84958102458,3,2
22954842600,2-s2.0-84958123072,3,2
22954842600,2-s2.0-84958169745,3,2
22954842600,2-s2.0-84958172195,4,2
22954842600,2-s2.0-84958214762,1,2
22954842600,2-s2.0-84958688218,3,2
22954842600,2-s2.0-84959331510,2,2
22954842600,2-s2.0-84959554525,4,2
22954842600,2-s2.0-84960157195,4,2
22954842600,2-s2.0-84960403584,5,2
22954842600,2-s2.0-84960540473,4,2
22954842600,2-s2.0-84961337315,2,2
22954842600,2-s2.0-84961588467,5,2
22954842600,2-s2.0-84961768112,3,2
22954842600,2-s2.0-84961843119,3,2
22954842600,2-s2.0-84962062598,2,2
22954842600,2-s2.0-84963491122,4,2
22954842600,2-s2.0-84964048031,6,2
22954842600,2-s2.0-84964056775,3,2
22954842600,2-s2.0-84964264751,3,2
22954842600,2-s2.0-84964267958,1,2
22954842600,2-s2.0-84964273847,3,2
22954842600,2-s2.0-84964308885,4,2
22954842600,2-s2.0-84964344055,5,2
22954842600,2-s2.0-84964504980,4,2
22954842600,2-s2.0-84964813217,4,2
22954842600,2-s2.0-84964889250,2,2
22954842600,2-s2.0-84966480748,5,2
22954842600,2-s2.0-84966558994,4,2
22954842600,2-s2.0-84966559926,6,2
22954842600,2-s2.0-84966587944,2,2
22954842600,2-s2.0-84966658363,6,2
22954842600,2-s2.0-84966670216,4,2
22954842600,2-s2.0-84966728339,1,2
22954842600,2-s2.0-84968616645,4,2
22954842600,2-s2.0-84969668402,4,2
22954842600,2-s2.0-84971207167,3,2
22954842600,2-s2.0-84971450065,5,2
22954842600,2-s2.0-84971574762,4,2
22954842600,2-s2.0-84971642322,3,2
22954842600,2-s2.0-84974806813,6,2
22954842600,2-s2.0-84976313921,6,2
22954842600,2-s2.0-84976488665,2,2
22954842600,2-s2.0-84976562123,6,2
22954842600,2-s2.0-84976631719,3,2
22954842600,2-s2.0-84977596703,3,2
22954842600,2-s2.0-84978091653,5,2
22954842600,2-s2.0-84978234748,2,2
22954842600,2-s2.0-84978383939,5,2
